time,px_est,py_est,pz_est,vx_est,vy_est,vz_est,qw_est,qx_est,qy_est,qz_est,pbarx_est,pbary_est,bgx_est,bgy_est,bgz_est,bax_est,bay_est,baz_est,px_true,py_true,pz_true,vx_true,vy_true,vz_true,qw_true,qx_true,qy_true,qz_true,pbarx_true,pbary_true,bgx_true,bgy_true,bgz_true,bax_true,bay_true,baz_true,P_dtheta_x,P_dtheta_y,P_dtheta_z,P_dpr_x,P_dpr_y,P_dpr_z,P_dvr_x,P_dvr_y,P_dvr_z,P_dpbar_x,P_dpbar_y,P_dbgyr_x,P_dbgyr_y,P_dbgyr_z,P_dbacc_x,P_dbacc_y,P_dbacc_z
0.000000,-49.499503,-9.500249,-24.499998,0.098850,-0.049696,0.000728,0.999886,0.008677,0.008779,0.008692,0.209939,0.479928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-50.000000,-10.000000,-25.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.200000,0.500000,0.005000,-0.002999,0.002001,0.020001,-0.009995,0.014989,0.002500,0.002500,0.002500,9.000006,9.000006,9.000006,0.250006,0.250006,0.250000,0.009999,0.009999,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500
0.050000,-49.494740,-9.502471,-24.500002,0.091607,-0.038720,0.000485,0.999885,0.008693,0.008735,0.008806,0.202469,0.497165,0.000001,-0.000002,-0.000001,-0.000000,-0.000000,0.000000,-49.999993,-10.000000,-25.000001,0.000412,0.000028,-0.000034,1.000000,0.000003,0.000007,0.000010,0.199983,0.500014,0.005002,-0.003001,0.001999,0.020001,-0.009990,0.015027,0.002500,0.002500,0.002500,9.000757,9.000757,9.000756,0.250735,0.250733,0.250008,0.000025,0.000025,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500
0.100000,-49.493316,-9.501825,-24.498857,0.073572,-0.009392,0.011166,0.999884,0.008964,0.008664,0.008775,0.202933,0.498153,0.000050,0.000069,-0.000128,0.000010,-0.000021,-0.000011,-49.999946,-9.999996,-25.000004,0.001575,0.000105,-0.000131,1.000000,0.000013,0.000026,0.000039,0.199937,0.500053,0.005002,-0.003002,0.002000,0.020010,-0.010012,0.015065,0.002500,0.002500,0.002500,9.002730,9.002736,9.002728,0.251970,0.250160,0.247495,0.000009,0.000009,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500
0.150000,-49.502021,-9.493883,-24.485187,0.016536,0.052853,0.096922,0.999877,0.009381,0.008816,0.008953,0.201269,0.495671,0.000103,0.000601,-0.000452,0.000061,-0.000075,-0.000091,-49.999823,-9.999988,-25.000015,0.003486,0.000233,-0.000291,1.000000,0.000029,0.000058,0.000087,0.199860,0.500118,0.005001,-0.002999,0.002002,0.020015,-0.010003,0.015051,0.002500,0.002501,0.002501,9.005934,9.005893,9.005857,0.254082,0.249600,0.243890,0.000007,0.000007,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500
0.200000,-49.497332,-9.474488,-24.497942,0.038141,0.144981,0.012503,0.999869,0.009992,0.008690,0.009300,0.199305,0.497087,0.000379,0.000104,-0.000806,0.000027,-0.000169,0.000015,-49.999585,-9.999972,-25.000035,0.006145,0.000411,-0.000513,1.000000,0.000051,0.000102,0.000154,0.199753,0.500210,0.005000,-0.003001,0.002008,0.020036,-0.010033,0.015042,0.002500,0.002501,0.002501,9.010399,9.010107,9.010008,0.256796,0.247968,0.238253,0.000006,0.000007,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500
0.250000,-49.482533,-9.458157,-24.523193,0.078267,0.190926,-0.086551,0.999867,0.010293,0.008408,0.009448,0.198580,0.498456,0.000555,-0.000502,-0.000916,-0.000042,-0.000221,0.000175,-49.999196,-9.999946,-25.000067,0.009550,0.000639,-0.000797,1.000000,0.000080,0.000159,0.000239,0.199617,0.500328,0.005000,-0.003000,0.002008,0.020046,-0.010026,0.015031,0.002496,0.002501,0.002502,9.015906,9.014526,9.014364,0.257268,0.234405,0.221064,0.000005,0.000005,0.000025,0.000024,0.000024,0.002500,0.002500,0.002500
0.300000,-49.482419,-9.450098,-24.521558,0.065855,0.195248,-0.066523,0.999863,0.010494,0.008593,0.009512,0.198583,0.498535,0.000524,-0.000386,-0.000900,-0.000025,-0.000211,0.000136,-49.998618,-9.999908,-25.000115,0.013698,0.000918,-0.001145,1.000000,0.000114,0.000228,0.000342,0.199451,0.500473,0.005000,-0.002999,0.002005,0.020038,-0.010030,0.015033,0.002493,0.002500,0.002502,9.022545,9.019798,9.019548,0.260714,0.228183,0.210382,0.000006,0.000006,0.000025,0.000024,0.000024,0.002500,0.002500,0.002500
0.350000,-49.456152,-9.426991,-24.559713,0.105775,0.243943,-0.162821,0.999858,0.011001,0.008223,0.009733,0.197826,0.499751,0.000697,-0.000969,-0.001017,-0.000133,-0.000274,0.000378,-49.997814,-9.999854,-25.000183,0.018588,0.001248,-0.001555,1.000000,0.000155,0.000310,0.000465,0.199256,0.500646,0.004998,-0.002999,0.002007,0.020046,-0.010025,0.015001,0.002481,0.002499,0.002503,9.029483,9.023638,9.023611,0.261442,0.206768,0.187770,0.000005,0.000005,0.000025,0.000023,0.000023,0.002500,0.002500,0.002500
0.400000,-49.413632,-9.420815,-24.617935,0.174079,0.239544,-0.283283,0.999861,0.010974,0.007409,0.010090,0.197330,0.501265,0.000768,-0.001725,-0.000859,-0.000334,-0.000212,0.000755,-49.996746,-9.999782,-25.000272,0.024216,0.001629,-0.002027,1.000000,0.000202,0.000404,0.000605,0.199032,0.500846,0.004998,-0.002998,0.002005,0.020040,-0.010047,0.014994,0.002473,0.002498,0.002504,9.037818,9.028808,9.028947,0.266757,0.199762,0.177027,0.000005,0.000006,0.000024,0.000022,0.000023,0.002500,0.002500,0.002500
0.450000,-49.518417,-9.571708,-24.523563,0.119711,-0.126077,-0.047019,0.999897,0.005853,0.008103,0.010313,0.200151,0.499207,-0.000246,-0.000399,0.000682,-0.000097,0.000935,-0.000168,-49.995380,-9.999690,-25.000386,0.030579,0.002062,-0.002563,1.000000,0.000255,0.000510,0.000765,0.198779,0.501075,0.005001,-0.003000,0.002006,0.020050,-0.010090,0.014955,0.002451,0.002494,0.002505,9.045053,9.031516,9.032576,0.270104,0.179968,0.158168,0.000005,0.000005,0.000024,0.000022,0.000022,0.002500,0.002499,0.002499
0.500000,-49.480049,-9.506586,-24.572900,0.143892,0.031837,-0.138940,0.999878,0.008436,0.007882,0.010546,0.198595,0.500563,0.000145,-0.000917,0.000086,-0.000200,0.000387,0.000258,-49.993676,-9.999575,-25.000529,0.037672,0.002548,-0.003162,0.999999,0.000314,0.000628,0.000942,0.198498,0.501331,0.005005,-0.003002,0.002003,0.020065,-0.010122,0.014979,0.002438,0.002493,0.002506,9.055100,9.036455,9.038111,0.278152,0.175994,0.150366,0.000005,0.000005,0.000024,0.000021,0.000022,0.002500,0.002499,0.002499
0.550000,-49.422433,-9.515657,-24.632107,0.204971,0.016937,-0.232953,0.999886,0.008129,0.006930,0.010675,0.198854,0.502377,0.000188,-0.001490,0.000234,-0.000472,0.000505,0.000751,-49.991600,-9.999434,-25.000704,0.045491,0.003086,-0.003824,0.999999,0.000379,0.000758,0.001137,0.198188,0.501617,0.005006,-0.003000,0.002003,0.020068,-0.010145,0.014981,0.002423,0.002491,0.002508,9.066337,9.041516,9.043919,0.287509,0.173529,0.143609,0.000006,0.000006,0.000024,0.000021,0.000022,0.002500,0.002499,0.002499
0.600000,-49.433990,-9.421931,-24.643419,0.172228,0.199973,-0.233001,0.999837,0.011963,0.007734,0.011054,0.196577,0.502668,0.000497,-0.001443,-0.000438,-0.000320,-0.000299,0.000773,-49.989115,-9.999265,-25.000913,0.054031,0.003677,-0.004550,0.999999,0.000450,0.000901,0.001351,0.197851,0.501932,0.005005,-0.003001,0.002004,0.020077,-0.010125,0.014959,0.002384,0.002485,0.002509,9.076481,9.043853,9.048173,0.295619,0.161991,0.132802,0.000005,0.000005,0.000024,0.000021,0.000022,0.002500,0.002498,0.002499
