time,px_est,py_est,pz_est,vx_est,vy_est,vz_est,qw_est,qx_est,qy_est,qz_est,pbarx_est,pbary_est,bgx_est,bgy_est,bgz_est,bax_est,bay_est,baz_est,bmx_est,bmy_est,bmz_est,px_true,py_true,pz_true,vx_true,vy_true,vz_true,qw_true,qx_true,qy_true,qz_true,pbarx_true,pbary_true,bgx_true,bgy_true,bgz_true,bax_true,bay_true,baz_true,bmx_true,bmy_true,bmz_true,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19
0.000000,-49.500000,-9.500000,-24.500000,0.100000,-0.050000,0.000000,0.999886,0.008650,0.008802,0.008650,0.210000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-50.000000,-10.000000,-25.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.200000,0.500000,0.004999,-0.002999,0.002001,0.020013,-0.009975,0.015000,0.000000,0.000000,0.000000,0.002500,0.002500,0.002500,9.000000,9.000000,9.000000,0.250000,0.250000,0.250000,1.000000,1.000000,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.051282,-49.495140,-9.502369,-24.500103,0.096103,-0.040692,-0.001306,0.999886,0.008795,0.008695,0.008693,0.209187,0.468689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-49.999992,-9.999999,-25.000001,0.000434,0.000029,-0.000036,1.000000,0.000004,0.000007,0.000011,0.199983,0.500015,0.004998,-0.003006,0.002005,0.020014,-0.009968,0.015015,0.000000,0.000000,0.000000,0.002500,0.002500,0.002500,9.000625,9.000625,9.000625,0.250631,0.250630,0.250026,0.000899,0.000899,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.102564,-49.491337,-9.502980,-24.499879,0.087461,-0.019362,0.005963,0.999884,0.008829,0.008731,0.008799,0.190969,0.486010,0.000026,0.000014,-0.000060,0.000002,-0.000007,-0.000002,0.000000,0.000000,0.000000,-49.999942,-9.999996,-25.000005,0.001656,0.000110,-0.000138,1.000000,0.000014,0.000028,0.000041,0.199933,0.500056,0.005004,-0.002999,0.002008,0.019979,-0.009835,0.015056,0.000000,0.000000,0.000000,0.002500,0.002500,0.002500,9.002504,9.002505,9.002500,0.252434,0.252396,0.250013,0.000300,0.000300,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.153846,-49.486885,-9.504602,-24.499135,0.084890,-0.019746,0.009990,0.999884,0.008938,0.008561,0.008914,0.195113,0.484297,0.000011,0.000030,-0.000035,0.000003,-0.000003,-0.000005,0.000000,0.000000,0.000000,-49.999809,-9.999987,-25.000016,0.003667,0.000245,-0.000306,1.000000,0.000031,0.000061,0.000092,0.199853,0.500124,0.005008,-0.003000,0.002008,0.019972,-0.009813,0.015052,0.000000,0.000000,0.000000,0.002501,0.002501,0.002501,9.005648,9.005646,9.005620,0.255415,0.255223,0.249856,0.000180,0.000181,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.205128,-49.479678,-9.507816,-24.502056,0.094444,-0.021114,-0.006513,0.999883,0.008917,0.008523,0.009010,0.200207,0.490924,-0.000004,-0.000077,0.000040,-0.000010,0.000013,0.000015,0.000000,0.000000,0.000000,-49.999552,-9.999970,-25.000037,0.006463,0.000432,-0.000539,1.000000,0.000054,0.000108,0.000162,0.199741,0.500221,0.005004,-0.002998,0.002008,0.020018,-0.009854,0.015032,0.000000,0.000000,0.000000,0.002501,0.002501,0.002501,9.010079,9.010070,9.009984,0.259616,0.259274,0.249725,0.000151,0.000152,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.256410,-49.473062,-9.510695,-24.504529,0.100250,-0.019654,-0.012549,0.999883,0.009024,0.008437,0.009019,0.202268,0.494156,-0.000016,-0.000133,0.000087,-0.000017,0.000027,0.000024,0.000000,0.000000,0.000000,-49.999132,-9.999942,-25.000072,0.010045,0.000672,-0.000839,1.000000,0.000084,0.000167,0.000251,0.199597,0.500345,0.005005,-0.003002,0.002006,0.020064,-0.009893,0.015026,0.000000,0.000000,0.000000,0.002502,0.002502,0.002502,9.015812,9.015776,9.015561,0.264874,0.264040,0.249166,0.000114,0.000115,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.307692,-49.467610,-9.518561,-24.502341,0.098472,-0.034776,-0.002389,0.999882,0.008907,0.008445,0.009229,0.205256,0.492369,-0.000080,-0.000086,0.000200,-0.000018,0.000071,0.000008,0.000000,0.000000,0.000000,-49.998509,-9.999900,-25.000124,0.014408,0.000966,-0.001204,1.000000,0.000120,0.000240,0.000360,0.199423,0.500498,0.005010,-0.003001,0.002004,0.020029,-0.009914,0.015072,0.000000,0.000000,0.000000,0.002502,0.002502,0.002502,9.022873,9.022765,9.022315,0.271231,0.269560,0.248215,0.000093,0.000093,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.358974,-49.465981,-9.516740,-24.498884,0.088383,-0.016763,0.003896,0.999876,0.009327,0.008594,0.009371,0.204253,0.491291,-0.000067,-0.000019,0.000146,-0.000002,0.000050,-0.000014,0.000000,0.000000,0.000000,-49.997641,-9.999842,-25.000197,0.019551,0.001313,-0.001635,1.000000,0.000163,0.000326,0.000489,0.199218,0.500680,0.005010,-0.003003,0.002005,0.020072,-0.009904,0.015098,0.000000,0.000000,0.000000,0.002502,0.002503,0.002503,9.031335,9.031127,9.030291,0.278976,0.276705,0.247618,0.000086,0.000087,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.410256,-49.459942,-9.520714,-24.499898,0.090475,-0.015534,0.005670,0.999873,0.009463,0.008548,0.009586,0.205126,0.491478,-0.000085,-0.000042,0.000190,-0.000009,0.000066,-0.000007,0.000000,0.000000,0.000000,-49.996490,-9.999765,-25.000293,0.025470,0.001714,-0.002133,1.000000,0.000212,0.000425,0.000637,0.198982,0.500891,0.005009,-0.003003,0.002004,0.020065,-0.009772,0.015111,0.000000,0.000000,0.000000,0.002502,0.002504,0.002504,9.041167,9.040697,9.039280,0.287413,0.283559,0.245932,0.000075,0.000075,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.461538,-49.441319,-9.528388,-24.520288,0.120064,-0.023732,-0.042986,0.999874,0.009423,0.008352,0.009713,0.206237,0.494855,-0.000078,-0.000323,0.000295,-0.000084,0.000113,0.000125,0.000000,0.000000,0.000000,-49.995016,-9.999665,-25.000417,0.032160,0.002170,-0.002697,0.999999,0.000268,0.000536,0.000804,0.198717,0.501132,0.005009,-0.003002,0.002000,0.020024,-0.009803,0.015202,0.000000,0.000000,0.000000,0.002502,0.002505,0.002505,9.052420,9.051473,9.049237,0.296978,0.290883,0.243671,0.000066,0.000067,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
